entity_id,entity_name,segment,owner
BIA001,BI asset 1,Strategic,Operations
BIA002,BI asset 2,Strategic,Customer
BIA003,BI asset 3,Watch,Customer
BIA004,BI asset 4,Growth,Operations
BIA005,BI asset 5,Strategic,Operations
BIA006,BI asset 6,Strategic,Operations
BIA007,BI asset 7,Strategic,Product
BIA008,BI asset 8,Core,Product
BIA009,BI asset 9,Watch,Revenue
BIA010,BI asset 10,Watch,Customer
BIA011,BI asset 11,Strategic,Product
BIA012,BI asset 12,Strategic,Operations
BIA013,BI asset 13,Growth,Analytics
BIA014,BI asset 14,Growth,Customer
BIA015,BI asset 15,Watch,Operations
BIA016,BI asset 16,Core,Analytics
BIA017,BI asset 17,Core,Customer
BIA018,BI asset 18,Core,Revenue
BIA019,BI asset 19,Core,Customer
BIA020,BI asset 20,Strategic,Operations
BIA021,BI asset 21,Core,Revenue
BIA022,BI asset 22,Growth,Product
BIA023,BI asset 23,Watch,Customer
BIA024,BI asset 24,Core,Product
BIA025,BI asset 25,Core,Customer
BIA026,BI asset 26,Strategic,Customer
BIA027,BI asset 27,Core,Product
BIA028,BI asset 28,Watch,Product
BIA029,BI asset 29,Strategic,Customer
BIA030,BI asset 30,Watch,Analytics
BIA031,BI asset 31,Watch,Customer
BIA032,BI asset 32,Growth,Customer
BIA033,BI asset 33,Strategic,Product
BIA034,BI asset 34,Growth,Analytics
BIA035,BI asset 35,Growth,Revenue
BIA036,BI asset 36,Core,Customer
