workbook_id,workbook_name,domain,criticality,migration_lane,priority_score,readiness_score,monthly_views,metric_count,parity_pass_rate,certified_metric_rate,load_improvement_pct,cutover_lane,next_action
WB029,Digital Shelf Digital shelf availability,Digital Shelf,Tier 2,Wave 2,184.9,0,584,6,0.0,33.3,30.5,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB016,Digital Shelf Retail media performance,Digital Shelf,Tier 1,Wave 2,180.2,10.4,4068,8,50.0,25.0,31.9,Blocker remediation,Clear cutover blocker before adding this asset to a release wave
WB019,Retail Media Finance reconciliation,Retail Media,Tier 3,Wave 3,177.4,0,5078,6,33.3,50.0,40.9,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB017,Client Performance Commerce conversion,Client Performance,Tier 2,Wave 3,168.0,26.3,8667,5,83.3,80.0,33.3,Owner validation,Run owner validation and prepare enablement notes
WB023,CRM and Loyalty Retail media performance,CRM and Loyalty,Tier 2,Wave 2,166.9,0,2816,6,50.0,50.0,30.8,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB036,Audience Strategy Campaign pacing,Audience Strategy,Tier 1,Wave 1,166.8,32.8,4057,4,33.3,50.0,27.2,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB015,Client Performance Client QBR packet,Client Performance,Tier 2,Wave 1,166.0,12.9,4155,6,50.0,50.0,21.0,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB030,Finance Operations Commerce conversion,Finance Operations,Tier 2,Wave 2,163.3,0,3395,7,33.3,28.6,23.7,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB024,Digital Shelf Finance reconciliation,Digital Shelf,Tier 1,Wave 2,159.9,30.0,2854,6,50.0,33.3,28.9,Blocker remediation,Clear cutover blocker before adding this asset to a release wave
WB034,Client Performance Finance reconciliation,Client Performance,Tier 3,Wave 2,159.2,33.1,7286,5,50.0,40.0,32.6,Owner validation,Complete KPI definition review and LookML certification
WB033,Audience Strategy Commerce conversion,Audience Strategy,Tier 2,Wave 3,154.3,38.5,6143,8,50.0,62.5,23.9,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB004,Commerce Retail media performance,Commerce,Tier 1,Wave 1,152.9,29.3,4268,7,66.7,28.6,33.8,Owner validation,Complete KPI definition review and LookML certification
WB028,Finance Operations Campaign pacing,Finance Operations,Tier 2,Wave 1,149.2,0,2672,6,16.7,50.0,25.2,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB001,Finance Operations Campaign pacing,Finance Operations,Tier 1,Wave 2,146.5,23.0,1485,5,50.0,20.0,42.5,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB006,Retail Media CRM lifecycle,Retail Media,Tier 1,Wave 3,143.6,53.6,5254,8,83.3,25.0,34.0,Owner validation,Complete KPI definition review and LookML certification
WB003,Client Performance Campaign pacing,Client Performance,Tier 2,Wave 2,142.9,34.6,7998,5,66.7,20.0,25.9,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB008,Retail Media Client QBR packet,Retail Media,Tier 1,Wave 1,141.9,14.8,1898,6,50.0,16.7,35.2,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
